Info 311  [20:12:38.837] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 312  [20:12:38.842] getSymbolsFromOtherSourceFileExports: Using cached list
Info 313  [20:12:38.844] getCompletionData: Semantic work: 7
Info 314  [20:12:38.857] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 315  [20:12:38.871] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 316  [20:12:38.923] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false Elapsed: 52ms
Info 317  [20:12:38.923] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 318  [20:12:38.924] getCompletionData: Get current token: 0
Info 319  [20:12:38.924] getCompletionData: Is inside comment: 0
Info 320  [20:12:38.924] getCompletionData: Get previous token 1: 0
Info 321  [20:12:38.924] getCompletionData: Get previous token 2: 0
Info 322  [20:12:38.924] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 323  [20:12:38.934] getSymbolsFromOtherSourceFileExports: Using cached list
Info 324  [20:12:38.936] getCompletionData: Semantic work: 12
Info 325  [20:12:38.951] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 326  [20:12:38.958] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 327  [20:12:39.7] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false Elapsed: 49ms
Info 328  [20:12:39.7] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 329  [20:12:39.7] getCompletionData: Get current token: 0
Info 330  [20:12:39.7] getCompletionData: Is inside comment: 0
Info 331  [20:12:39.7] getCompletionData: Get previous token 1: 0
Info 332  [20:12:39.7] getCompletionData: Get previous token 2: 0
Info 333  [20:12:39.7] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 334  [20:12:39.11] getSymbolsFromOtherSourceFileExports: Using cached list
Info 335  [20:12:39.12] getCompletionData: Semantic work: 4
Info 336  [20:12:39.20] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7
Info 337  [20:12:39.119] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 338  [20:12:39.168] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false Elapsed: 49ms
Info 339  [20:12:39.168] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 340  [20:12:39.168] getCompletionData: Get current token: 0
Info 341  [20:12:39.169] getCompletionData: Is inside comment: 0
Info 342  [20:12:39.169] getCompletionData: Get previous token 1: 0
Info 343  [20:12:39.169] getCompletionData: Get previous token 2: 0
Info 344  [20:12:39.169] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 345  [20:12:39.175] getSymbolsFromOtherSourceFileExports: Using cached list
Info 346  [20:12:39.176] getCompletionData: Semantic work: 7
Info 347  [20:12:39.188] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 348  [20:12:40.160] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 349  [20:12:40.236] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false Elapsed: 76ms
